2018-12-31,0,CIVC,PHIL,1
2018-12-31,0,CIVC,PITT,5
2018-12-31,0,CIVC,PLZA,1
2018-12-31,0,CIVC,RICH,4
2018-12-31,0,CIVC,ROCK,2
2018-12-31,0,CIVC,SANL,5
2018-12-31,0,CIVC,SFIA,1
2018-12-31,0,CIVC,SHAY,3
2018-12-31,0,CIVC,SSAN,1
2018-12-31,0,CIVC,UCTY,5
2018-12-31,0,CIVC,WCRK,2
2018-12-31,0,CIVC,WOAK,3
2018-12-31,0,COLM,COLS,1
2018-12-31,0,COLM,MONT,1
2018-12-31,0,COLS,24TH,1
2018-12-31,0,COLS,BAYF,2
2018-12-31,0,COLS,CIVC,2
2018-12-31,0,COLS,DBRK,1
2018-12-31,0,COLS,DUBL,1
2018-12-31,0,COLS,EMBR,1
2018-12-31,0,COLS,MONT,2
2018-12-31,0,COLS,WSPR,1
2018-12-31,0,CONC,24TH,1
2018-12-31,0,CONC,ANTI,1
2018-12-31,0,CONC,CIVC,1
2018-12-31,0,CONC,CONC,4
2018-12-31,0,CONC,HAYW,1
2018-12-31,0,CONC,LAFY,1
2018-12-31,0,CONC,MCAR,1
2018-12-31,0,CONC,NBRK,1
2018-12-31,0,CONC,PHIL,1
2018-12-31,0,CONC,PITT,5
2018-12-31,0,CONC,ROCK,1
2018-12-31,0,DALY,24TH,1
2018-12-31,0,DALY,ASHB,1
2018-12-31,0,DALY,DUBL,9
2018-12-31,0,DALY,EMBR,1
2018-12-31,0,DALY,SANL,2
2018-12-31,0,DALY,SBRN,1
2018-12-31,0,DALY,UCTY,1
2018-12-31,0,DALY,WSPR,1
2018-12-31,0,DBRK,19TH,2
2018-12-31,0,DBRK,24TH,4
2018-12-31,0,DBRK,ANTI,2
2018-12-31,0,DBRK,ASHB,1
2018-12-31,0,DBRK,BALB,1
2018-12-31,0,DBRK,BAYF,1
2018-12-31,0,DBRK,CAST,3
2018-12-31,0,DBRK,DALY,4
2018-12-31,0,DBRK,DELN,2
2018-12-31,0,DBRK,DUBL,2
2018-12-31,0,DBRK,EMBR,2
2018-12-31,0,DBRK,FRMT,1
2018-12-31,0,DBRK,FTVL,3
2018-12-31,0,DBRK,GLEN,3
2018-12-31,0,DBRK,MLBR,1
2018-12-31,0,DBRK,MONT,1
2018-12-31,0,DBRK,NCON,1
2018-12-31,0,DBRK,PITT,1
2018-12-31,0,DBRK,PLZA,3
2018-12-31,0,DBRK,RICH,4
2018-12-31,0,DBRK,ROCK,1
2018-12-31,0,DBRK,UCTY,2
2018-12-31,0,DBRK,WCRK,1
2018-12-31,0,DBRK,WOAK,1
2018-12-31,0,DELN,DALY,1
2018-12-31,0,DELN,DBRK,1
2018-12-31,0,DELN,HAYW,1
2018-12-31,0,DELN,LAKE,1
2018-12-31,0,DELN,PLZA,1
2018-12-31,0,DELN,SFIA,1
2018-12-31,0,DUBL,16TH,1
2018-12-31,0,DUBL,CAST,3
2018-12-31,0,DUBL,CIVC,1
2018-12-31,0,DUBL,COLS,1
2018-12-31,0,DUBL,FTVL,1
2018-12-31,0,DUBL,MONT,1
2018-12-31,0,DUBL,SSAN,1
2018-12-31,0,DUBL,WSPR,1
2018-12-31,0,EMBR,12TH,2
2018-12-31,0,EMBR,16TH,3
2018-12-31,0,EMBR,19TH,4
2018-12-31,0,EMBR,24TH,7
2018-12-31,0,EMBR,ANTI,5
2018-12-31,0,EMBR,ASHB,1
2018-12-31,0,EMBR,BALB,8
2018-12-31,0,EMBR,BAYF,8
2018-12-31,0,EMBR,CAST,5
2018-12-31,0,EMBR,CIVC,1
